REVISED 7/3/19,,,,,,,,,,,,,,,,,,,,
OBS SPRING SALE OF TWO-YEAR-OLDS IN TRAINING,,,,,,,,,,,,,,,,,,,,
"APRIL 23 - 26, 2019",,,,,,,,,,,,,,,,,,,,
hip#,Name,Color,Sex,Foal Date,Sire,Dam,Dam Sire,Sort By Dam,Consignor,Area ID,Barn,work time,set,day,Buyer ,Price ,PS,Status ,out date,AlphSort
1,,DB/BR,C,1/23/2017,Blame,Facethefront,War Front,Facethefront,"All In Line Stables, Agent I",KY,17,21.1,85,4/15,Eclipse Thoroughbred Partners,"290,000",,,,All In Line Stables
2,,DB/BR,C,4/13/2017,More Than Ready,Fanfire,Elusive Quality,Fanfire,"Bobby Dodd, Agent XVII",NY,10,out,,,Withdrawn,Out,,Out,4/15/2019,Dodd Bobby
3,,B,C,2/13/2017,Shanghai Bobby,Fantasy Song,Unbridled's Song,FantasySong,"Golden Rock Thoroughbreds, Agent VIII",KY,16,10.2,23,4/15,Angel L. Del-Valle Matos,"25,000",PS,,,Golden Rock Thoroughbreds
4,,B,F,2/6/2017,The Factor,Fashion Tap,Tapit,FashionTap,"Niall Brennan Stables, Agent XXXVII",KY,8,11.0,138,4/15,"70,000",Not Sold,,,,Brennan Niall
5,,GR/RO,F,2/17/2017,Race Day,Fast Deal,Grand Slam,FastDeal,Grassroots Training & Sales LLC,KY,J,10.1,68,4/15,"Nick J. Hines, Agent for Dr. Simon Hudy","65,000",PS,,,Grassroots Training & Sales LLC
6,,B,F,3/27/2017,Shanghai Bobby,Fast Resource,Bob and John,FastResource,"Hartley / DeRenzo Thoroughbreds LLC, Agent",KY,5,10.0,21,4/15,"145,000",Not Sold,,,,Hartley / DeRenzo Thoroughbreds LLC
7,,CH,C,4/4/2017,Flatter,Fast Tigress,Hold That Tiger,FastTigress,"S B M Training and Sales, Agent V",KY,15,10.4,162,4/15,"K.O.I.D. Co., Ltd.","50,000",,,,S B M Training and Sales
8,,CH,C,4/12/2017,Lemon Drop Kid,Fast Tip,Najran,FastTip,RiceHorse Stable (Brandon & Ali Rice),KY,17,22.0,31,4/15,"49,000",Not Sold,,,,RiceHorse
9,,B,C,5/6/2017,Maclean's Music,Fearless Wildcat,Forest Wildcat,FearlessWildcat,"Hoppel's Horse & Cattle Co., Inc., Agent III",TX,A,10.3,119,4/15,"Triple Crown (Chae, Seung Bae)","27,000",,,,"Hoppel's Horse & Cattle Co., Inc."
10,,B,F,3/15/2017,Summer Front,Feline Flatline,Lion Heart,FelineFlatline,"Niall Brennan Stables, Agent",KY,8,10.4,45,4/15,Withdrawn,Out,,Out,4/23/2019,Brennan Niall
11,,DB/BR,C,2/26/2017,Fed Biz,Fiercely,Hard Spun,Fiercely,"Eddie Woods, Agent XXXVII",KY,11,21.3,157,4/15,Withdrawn,Out,,Out,4/23/2019,Woods Eddie
12,,B,F,4/9/2017,Palace Malice,Fifth of April,Dehere,FifthofApril,"Mayberry Farm, Agent XVIII",KY,B,10.2,49,4/15,"230,000",Not Sold,,,,Mayberry Farm
13,,B,C,4/29/2017,Street Sense,Final Heiress,Forest Wildcat,FinalHeiress,"Randy Miles, Agent VI",KY,18,10.2,9,4/15,"Red Oak Farm, Inc.","125,000",,,,Miles Randy
14,,DB/BR,F,3/19/2017,Shanghai Bobby,Fine Lookin Lady,E Dubai,FineLookinLady,"Scanlon Training & Sales, Agent III",KY,1,10.4,117,4/15,Withdrawn,Out,,Out,4/16/2019,Scanlon Training Center
15,,CH,C,1/22/2017,Kantharos,Finest Silver,Tapit,FinestSilver,"Craig L. Wheeler, Agent III",FL,3,10.4,133,4/15,Antonio Sano,"20,000",,,,Wheeler Craig L.
16,,CH,C,4/10/2017,Tapiture,First Freedom,First Samurai,FirstFreedom,"Ends Well, Agent I",KY,18,10.2,71,4/15,"Triple Crown (Shin, Seung Yeul)","45,000",,,,Ends Well
17,,DB/BR,C,4/24/2017,Daredevil,First Installment,Broken Vow,FirstInstallment,"Mayberry Farm, Agent VI",KY,B,11.0,87,4/15,SROA (K.O.I.D.),"30,000",,,,Mayberry Farm
18,,B,F,3/20/2017,Secret Circle,Flawless Trinket,Tribal Rule,FlawlessTrinket,"Eddie Woods, Agent XL",FL,11,21.1,3,4/15,SROA (K.O.I.D.),"35,000",,,,Woods Eddie
19,,B,F,1/21/2017,Will Take Charge,Flexible Princess,Honour and Glory,FlexiblePrincess,"Off the Hook LLC, Agent XVII",FL,13,out,,,Withdrawn,Out,,Out,4/15/2019,Off the Hook LLC
20,,DB/BR,C,3/29/2017,Congrats,Flit,Not For Love,Flit,"Mayberry Farm, Agent",MD,B,10.2,6,4/15,Gold Square LLC,"75,000",,,,Mayberry Farm
21,,DB/BR,F,4/20/2017,Honor Code,Flock of Doves,Kingmambo,FlockofDoves,"Wavertree Stables, Inc. (Ciaran Dunne), Agent V",KY,5,21.4,82,4/15,"55,000",Not Sold,,,,"Wavertree Stables, Inc."
22,,DB/BR,C,3/3/2017,Palace Malice,Florida Sun,Belgravia,FloridaSun,"Blas Perez Stables, Agent IV",NY,20,10.2,53,4/15,Iris Smith,"55,000",,,,Perez Stables Blas 
23,K Top King (KOR),CH,C,2/13/2017,Ecton Park,Fly Top Queen,Henny Hughes,FlyTopQueen,"de Meric Sales, Agent XXV",KOR,12,10.1,25,4/15,"100,000",Not Sold,,,,de Meric Sales
24,,B,F,2/13/2017,Lemon Drop Kid,Forensic,Medaglia d'Oro,Forensic,"Gene Recio, Agent VIII",KY,15,10.2,27,4/15,"James Bredin, Agent for David A. Ross","140,000",,,,Recio Gene
25,,DB/BR,F,2/6/2017,Pioneerof the Nile,Forestry's Magic,Forestry,ForestrysMagic,"Eddie Woods, Agent LI",KY,11,22.1,114,4/15,"Gayle Van Leer, Agent","100,000",,,,Woods Eddie
26,Moneyformyhoney,GR/RO,F,4/10/2017,Twirling Candy,Forever Sunshine,Rockport Harbor,ForeverSunshine,All Dreams Equine,KY,20,10.2,24,4/15,Triton Thoroughbreds LLC,"55,000",,,,All Dreams Equine
27,,GR/RO,C,4/14/2017,Shanghai Bobby,Forever Vow,Broken Vow,ForeverVow,"S B M Training and Sales, Agent IX",KY,15,10.4,50,4/15,H & E Ranch,"75,000",,,,S B M Training and Sales
28,,GR/RO,C,4/27/2017,Lea,Fortune Candy,Milwaukee Brew,FortuneCandy,All Dreams Equine,FL,20,10.3,95,4/15,"Ron Spatz, Agent for Frank Bertolino","35,000",PS,,,All Dreams Equine
29,,B,F,3/20/2017,Alpha,Four Bears,Hennessy,FourBears,"Sequel Bloodstock, Agent",NY,9,10.3,46,4/15,Withdrawn,Out,,Out,4/16/2019,Sequel Bloodstock
30,,DB/BR,F,4/3/2017,Tonalist,Frabster,War Chant,Frabster,"Classic Bloodstock LLC, Agent I",KY,17,11.0,115,4/15,Withdrawn,Out,,Out,4/15/2019,Classic Bloodstock LLC
