OBS SPRING SALE OF TWO-YEAR-OLDS IN TRAINING,,,,,,,,,,,,,,,,,,,,
"APRIL 19 - 22, 2022",,Revised 8/2/2022,,,,,,,,,,,,,,,,,,
hip#,Name,Color,Sex,Foal Date,Sire,Dam,Dam Sire,Sort By Dam,Consignor,Area ID,Barn,work time,set,day,Buyer ,Price ,PS,Status,Out Date,AlphSort
1,,B,C,2/6/2020,Kantharos,Uknowwhatimean,Indian Charlie,Uknowwhatimean,Horses Factory,KY        ,6,10.4,93,4/10,"50,000",Not Sold,,,,Horses Factory
2,,B,F,2/28/2020,Texas Red,Ultimate Class,During,UltimateClass,"Mayberry Farm, Agent V",KY        ,B,out,73,4/10,Withdrawn,Out,,Out,4/19/2022,Mayberry Farm
3,,GR/RO,F,4/1/2020,Tapwrit,Ultimate Shopper,Yes It's True,UltimateShopper,Golden Thoroughbreds Training and Sales,KY        ,E,10.2,77,4/10,Mark Norman,"35,000",,,,Golden Thoroughbreds Training and Sales
4,,B,F,3/25/2020,Uncle Mo,Ultralight Beam,Giant's Causeway,UltralightBeam,"Omar Ramirez Bloodstock, Agent XIV",KY        ,15,out,,,Withdrawn,Out,,Out,4/10/2022,Ramirez Omar
5,,DB/BR,C,3/18/2020,Good Samaritan,Uman Candy,Candy Ride (ARG),UmanCandy,"Top Line Sales LLC, Agent XII",NY        ,14,10.1,72,4/10,"West Point Thoroughbreds, Inc., L.E.B.,Agent","120,000",,,,Top Line Sales
6,,B,C,3/14/2020,The Big Beast,Unanimity,Union Rags,Unanimity,Ocala Stud,FL        ,4,21.1,67,4/10,Saffie Joseph Jr,"35,000",,,,Ocala Stud
7,,B,F,3/31/2020,Into Mischief,Unanimous,Animal Kingdom,Unanimous,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XXIII",KY        ,5,out,4,4/10,Withdrawn,Out,,Out,4/19/2022,"Wavertree Stables, Inc."
8,,B,C,3/6/2020,American Freedom,Unanimous Decision,Distorted Humor,UnanimousDecision,"Top Line Sales LLC, Agent IX",KY        ,14,10.1,45,4/10,Nectalier Gonzalez,"50,000",,,,Top Line Sales
9,,DB/BR,C,4/28/2020,Khozan,Un Bel Di,Rahy,UnBelDi,"Off the Hook LLC, Agent II",FL        ,13,10.3,86,4/10,"Ahmad Alabdullatif, Agent","40,000",,,,Off the Hook LLC
10,,CH,C,3/29/2020,Ghostzapper,Un Blessed,Mineshaft,UnBlessed,"de Meric Sales, Agent III",VA        ,12,10.4,130,4/10,Joseph's Racing LLC,"15,000",,,,de Meric Sales
11,,CH,C,5/1/2020,Justify,Unbound,Distorted Humor,Unbound,"Hidden Brook, Agent V",KY        ,1,10.0,85,4/10,"Gary Young, Agent for Zedan Racing Stables, Inc.","600,000",,,,Hidden Brook Farm
12,,B,C,5/8/2020,Ransom the Moon,Uncomplicated,Half Ours,Uncomplicated,"Cortez Racing Stable, Agent",KY        ,10,10.1,68,4/10,"Maverick, Siena and CMNWLTH","190,000",,,,Cortez Racing Stable
13,,B,C,1/26/2020,Twirling Candy,Unfazed,Elusive Quality,Unfazed,"Off the Hook LLC, Agent XXI",NY        ,13,10.1,57,4/10,Happy Tenth Stable,"65,000",PS,,,Off the Hook LLC
14,,CH,F,3/5/2020,Accelerate,Unforgiving,Giant's Causeway,Unforgiving,"Randy Miles, Agent XI",KY        ,18,10.2,65,4/10,Narvick International / Jimmy Preziosi,"50,000",,,,Miles Randy
15,,CH,F,1/21/2020,Connect,Unreal Baby,Flatter,UnrealBaby,"Julie Davies LLC, Agent XXXIV",NY        ,15,10.2,66,4/10,"100,000",Not Sold,,,,Davies Julie
16,Khozanthebarbarian,B,C,4/23/2020,Khozan,Unveil the Mask,Harlan's Holiday,UnveiltheMask,"Top Line Sales LLC, Agent XII",FL        ,14,out,,,Withdrawn,Out,,Out,4/9/2022,Top Line Sales
17,,CH,C,4/14/2020,Speightstown,Urban Ball (IRE),Galileo (IRE),UrbanBallIRE,"Top Line Sales LLC, Agent XVIII",IRE       ,14,10.0,9,4/10,H R Bloodstock,"100,000",PS,,,Top Line Sales
18,,DB/BR,F,5/4/2020,Always Dreaming,Urbanini,Bernardini,Urbanini,Potrero Stables,KY        ,3,21.3,117,4/10,Robert DeLuca / DeLuca Racing Stable LLC,"80,000",,,,Potrero Stables
19,,CH,F,4/11/2020,Collected,Usrah,Tiznow,Usrah,"Ordonez Thoroughbreds, Agent I",KY        ,17,out,,,Withdrawn,Out,,Out,4/11/2022,Ordonez Thoroughbreds
20,,B,C,3/16/2020,Practical Joke,Utana,Curlin,Utana,"Grassroots Training & Sales LLC, Agent II",NY        ,J,out,145,4/10,Withdrawn,Out,,Out,4/19/2022,Grassroots Training & Sales LLC
21,,CH,C,4/2/2020,Good Magic,Valiant Passion,Lion Heart,ValiantPassion,"Eddie Woods, Agent XXV",KY        ,11,out,,,Withdrawn,Out,,Out,3/23/2022,Woods Eddie
22,,GR/RO,C,2/24/2020,Pioneerof the Nile,Varisimo,Unbridled's Song,Varisimo,"Mayberry Farm, Agent I",KY        ,B,11.0,122,4/10,"Ahmad Alabdullatif, Agent","100,000",,,,Mayberry Farm
23,,B,F,4/16/2020,Bernardini,Veela,Bartok (IRE),Veela,"Hoppel's Horse & Cattle Co., Inc.",KY        ,9,10.2,89,4/10,"25,000",Not Sold,,,,"Hoppel's Horse & Cattle Co., Inc."
24,,B,C,4/30/2020,Mo Town,Vendita,Smart Strike,Vendita,"Britton Peak, Agent I",KY        ,16,10.1,18,4/10,Mayberry Farm,"190,000",,,,Britton Peak
25,,CH,F,3/14/2020,Collected,Vercruysse,Mark Valeski,Vercruysse,"Golden Rock Thoroughbreds, Agent VII",KY        ,20,10.4,84,4/10,Jose Camejo,"15,000",PS,,,Golden Rock Thoroughbreds
26,,B,F,5/3/2020,Mastery,Veronique,Mizzen Mast,Veronique,"Eddie Woods, Agent XXV",KY        ,11,out,71,4/10,Withdrawn,Out,,Out,4/19/2022,Woods Eddie
27,,B,F,4/9/2020,Mucho Macho Man,Very Funny,Distorted Humor,VeryFunny,"Santa Fe Thoroughbreds, Agent",NY        ,19,10.1,39,4/10,"Jeffrey Bloom, Agent","45,000",,,,Santa Fe Thoroughbreds
28,,B,F,5/5/2020,Practical Joke,Victoria's Hope,Run Away and Hide,VictoriasHope,Two Oaks Equine,KY        ,19,10.1,41,4/10,Lea Farms LLC,"27,000",,,,Two Oaks Equine
29,,B,C,4/13/2020,American Pharoah,Vied,Elusive Quality,Vied,"Gayle Woods, Agent IV",KY        ,E,22.4,126,4/10,Faisal Alrasheed,"20,000",PS,,,Woods Gayle
30,,CH,C,4/29/2020,Munnings,View,Birdstone,View,"Eddie Woods, Agent VIII",KY        ,11,21.3,24,4/10,"Kim Valerio, Agent for Nasir Askar","85,000",,,,Woods Eddie
31,,CH,C,4/4/2020,Klimt,Virtuously,Congrats,Virtuously,"Randy Miles, Agent V",KY        ,18,10.0,7,4/10,Alex & JoAnn Lieblong,"230,000",,,,Miles Randy
32,Appear,DB/BR,F,3/7/2020,Runhappy,Vivere,War Front,Vivere,"Harris Training Center LLC, Agent III",KY        ,13,10.3,102,4/10,Maxine Simms,"8,000",,,,Harris Training Center LLC
33,,B,C,3/20/2020,Ghostzapper,Volcat,After Market,Volcat,"Randy Miles, Agent XI",KY        ,18,10.3,121,4/10,Travin Stables,"25,000",PS,,,Miles Randy
