2023 OBS Spring Sale,,,,,,,,,,,,,,,,,,,,
"April 25-28, 2023",,Adjusted 7/28/23,,,,,,,,,,,,,,,,,,
Hip,Name,Color,Sex,Foal Date,Sire,Dam,Damsire,Sort by Dam,Consignor,State,Barn,UT Time,Set,Day,Buyer,Price,Post Sale,Out,Out Date,Alphabetic Consignor Sort
1,,DB/BR,F,3/4/2021,Bee Jersey,Aaroness,Distorted Humor,Aaroness,"Hoppel's Horse & Cattle Co., Inc.",KY,9,9.4,42,16-Apr,Michael Robinson,"80,000",PS,,,"Hoppel's Horse & Cattle Co., Inc."
2,,B,C,4/7/2021,Vino Rosso,Abatis,Aptitude,Abatis,G. A. Thoroughbred Sales,KY,7,22.0,118,16-Apr,S.R.O.A. (KOID),"40,000",,,,G. A. Thoroughbred Sales
3,,DB/BR,F,3/9/2021,Bolt d'Oro,Above Fashion,Paddy O'Prado,AboveFashion,RiceHorse Stable (Brandon & Ali Rice),NY,6,20.3,6,16-Apr,Reeves Thoroughbred Racing,"300,000",PS,,,RiceHorse
4,,B,F,3/30/2021,Audible,Abtasaamah,Distorted Humor,Abtasaamah,"Eisaman Equine, Agent",KY,7,10.2,122,16-Apr,Full of Run Racing LLC II & Ten Strike Racing,"350,000",,,,Eisaman Equine
5,,B,C,3/16/2021,Flameaway,Acting Naughty,Offlee Wild,ActingNaughty,"Grassroots Training & Sales LLC, Agent",LA,J,10.1,11,16-Apr,Dennis O'Neill,"200,000",,,,Grassroots Training & Sales LLC
6,,B,F,3/20/2021,Girvin,Adios Annie,Adios Charlie,AdiosAnnie,Ocala Stud,FL,4,21.1,41,16-Apr,John P. Connelly,"180,000",,,,Ocala Stud
7,Integrated Design,GR/RO,F,4/29/2021,Hard Spun,Adjudication,Giant's Causeway,Adjudication,"Grassroots Training & Sales LLC, Agent II",KY,J,out,,16-Apr,Withdrawn,Out,,out,4/16/2023,Grassroots Training & Sales LLC
8,,B,F,5/2/2021,Mendelssohn,Adorable,Smart Strike,Adorable,"Grassroots Training & Sales LLC, Agent",ON,J,10.2,77,16-Apr,Daniel Eubanks,"30,000",PS,,,Grassroots Training & Sales LLC
9,,B,F,3/26/2021,Solomini,Adriatic Dream,Wild Desert,AdriaticDream,"Top Line Sales LLC, Agent LIV",NY,14,out,101,16-Apr,Withdrawn,Out,,out,4/17/2023,Top Line Sales
10,,B,C,5/3/2021,Night of Thunder (IRE),Afdhaad (GB),Nayef,AfdhaadGB,"Eddie Woods, Agent XXXII",IR,11,10.0,36,16-Apr,Mitsu Nakauchida,"300,000",,,,Woods Eddie
